Serial Number,Name,End Money,Number of games played,Wins,Losses,Odd Eve Wins,Red Black Wins,High Low wins,Single Number bet wins,Date Time
1,Beta Tester,30,4,2,3,1,0,1,0,10/1/2022 18:18
2,anonymous,10,5,1,4,0,0,1,0,11/1/2022 12:16
3,anonigamus,40,4,2,2,1,1,0,0,11/1/2022 13:20
4,PreRelease1.6,50,4,2,2,1,1,0,0,11/1/2022 22:19
5,luki man,100,0,0,0,0,0,0,0,11/1/2022 22:58
6,PreRelease 1.12,25,4,2,2,1,1,0,0,11/1/2022 23:05
7,NeedMoney,240,4,3,1,1,1,1,0,11/1/2022 23:16
8,Betty Quasceino,60,1,0,1,0,0,0,0,11/1/2022 23:27
9,Betsworth ,48000,3,1,2,0,0,1,0,11/1/2022 23:32
10,I am Betman,2,6,3,3,1,1,1,0,11/1/2022 23:39
11,ruchir,0,4,1,3,0,0,1,0,27/1/2022  10:33
12,mummy,80,2,0,2,0,0,0,0,27/1/2022  14:2
13,bhaia,-99999999,11,4,7,1,2,1,0,27/1/2022  14:9
14,Sushant Gupta,30,4,1,3,0,0,1,0,11/2/2022  19:16
15,shreyas,50,3,1,2,0,0,1,0,24/11/2022  20:29
